1069,N,1000000000000242.000000,624400,300,B
1069,N,1000000000000243.000000,623650,400,B
1069,N,1000000000000244.000000,623250,500,B
1069,N,1000000000000245.000000,622650,500,B
1069,N,1000000000000246.000000,622250,500,B
1069,N,1000000000000247.000000,621250,500,B
1069,N,1000000000000248.000000,620250,500,B
1069,N,1000000000000249.000000,625950,300,S
1069,N,1000000000000251.000000,626350,400,S
1069,N,1000000000000252.000000,626750,500,S
1069,N,1000000000000254.000000,627750,500,S
1069,N,1000000000000255.000000,628750,500,S
1069,N,1000000000000258.000000,624125,200,B
1069,N,1000000000000260.000000,626650,1000,S
1069,N,1000000000000262.000000,626450,400,S
1069,N,1000000000000264.000000,626750,800,S
